Hour	Heat source [kW]
1371	0.022877457
1372	0.036490379
1373	0.03633675
1374	0.048383317
1375	0.042598827
1376	0.030413659
1377	0.029121166
1378	0.04137981
1379	0.033048741
1380	0.047504956
1381	0.049001732
1382	0.051444221
1383	0.083430914
1384	0.090496764
1385	0.055088472
1386	0.050765133
1387	0.022340867
1388	0.011689212
1389	0.007868509
1390	0.005125441
1391	0.007320786
1392	0.006586036
1393	0.00390531
1394	0.005644219
1395	0.007004621
1396	0.013180978
1397	0.021858826
1398	0.024782799
1399	0.029081089
1400	0.026434317
1401	0.029236388
1402	0.024157704
1403	0.030585657
1404	0.030799403
1405	0.036310031
1406	0.038852713
1407	0.055679612
1408	0.086947697
1409	0.07384242
1410	0.071558014
1411	0.040126281
1412	0.0365761
1413	0.034704713
1414	0.031380524
1415	0.02431356
1416	0.0210506
1417	0.021908923
1418	0.036253812
1419	0.039656486
1420	0.044064988
1421	0.06257402
1422	0.066995882
1423	0.044730717
1424	0.037036432
1425	0.041439925
1426	0.031034857
1427	0.043630818
1428	0.038078999
1429	0.042097861
1430	0.042878255
1431	0.087392443
1432	0.10582633
1433	0.100883463
1434	0.076017727
1435	0.069338177
1436	0.094562383
1437	0.087562215
1438	0.075942582
1439	0.064641341
1440	0.07177844
1441	0.059609414
1442	0.049214921
1443	0.053739203
1444	0.086587001
1445	0.086198474
1446	0.072154164
1447	0.059256511
1448	0.06183927
1449	0.041073663
1450	0.045220551
1451	0.029376659
1452	0.036197592
1453	0.031064358
1454	0.059441312
1455	0.072244895
1456	0.081054107
1457	0.077936984
1458	0.108970171
1459	0.088353742
1460	0.058820113
1461	0.084997268
1462	0.07369547
1463	0.051713073
1464	0.07473748
1465	0.074450259
1466	0.051699714
1467	0.07459554
1468	0.077914162
1469	0.05946135
1470	0.080228626
1471	0.054416064
1472	0.037766173
1473	0.046670013
1474	0.02986204
1475	0.033699997
1476	0.046596538
1477	0.04765469
1478	0.06119859
1479	0.081845077
1480	0.093594962
1481	0.097174087
1482	0.079499999
1483	0.063996764
1484	0.038309443
1485	0.049001176
1486	0.038500924
1487	0.033077129
1488	0.020499538
1489	0.020083179
1490	0.023965111
1491	0.023480287
1492	0.03989194
1493	0.06257402
1494	0.043608553
1495	0.051677448
1496	0.038552134
1497	0.037986598
