Hour	Heat demand [kW]
1289	0.168688644
1290	0.189010836
1291	0.21949968
1292	0.223077454
1293	0.203421926
1294	0.145188678
1295	0.124766486
1296	0.124266486
1297	0.12391093
1298	0.1300887
1299	0.141888682
1300	0.180088626
1301	0.26931072
1302	0.346266162
1303	0.325766192
1304	0.280510702
1305	0.236388544
1306	0.199444154
1307	0.165621982
1308	0.140533128
1309	0.122533154
1310	0.10584429
1311	0.10321096
1312	0.120322048
1313	0.153310888
1314	0.175777522
1315	0.20204415
1316	0.20732192
1317	0.194966382
1318	0.139144242
1319	0.114610944
1320	0.107922066
1321	0.11234428
1322	0.115822054
1323	0.131299808
1324	0.161810876
1325	0.230488554
1326	0.294055128
1327	0.275666266
1328	0.258644068
1329	0.225299672
1330	0.19342194
1331	0.16418865
1332	0.148677562
1333	0.130333144
1334	0.12308871
1335	0.118988716
1336	0.131477586
1337	0.163566428
1338	0.181066404
1339	0.181921958
1340	0.182366402
1341	0.17201086
1342	0.12186649
1343	0.10228874
1344	0.100810964
1345	0.100777632
1346	0.103799848
1347	0.115810942
1348	0.146588676
1349	0.21035525
1350	0.279655148
1351	0.254932962
1352	0.236777434
1353	0.206288588
1354	0.170844196
1355	0.141388684
1356	0.124222042
1357	0.105655402
1358	0.09721097
1359	0.094710974
1360	0.114122056
1361	0.148188674
1362	0.16652198
1363	0.184599732
1364	0.18762195
1365	0.176844188
1366	0.129644256
1367	0.109544284
1368	0.108633176
1369	0.110899838
1370	0.1150665
1371	0.128044258
1372	0.163844206
1373	0.240555206
1374	0.315655096
1375	0.298121788
1376	0.260321844
1377	0.2142108
1378	0.184399732
1379	0.149933116
1380	0.117422052
1381	0.092677642
1382	0.082433214
1383	0.080144328
1384	0.091822088
1385	0.128966478
1386	0.154610886
1387	0.172521972
1388	0.179733072
1389	0.170799752
1390	0.122733154
1391	0.103744294
1392	0.102944294
1393	0.103666516
1394	0.109810952
1395	0.121522046
1396	0.155721996
1397	0.223299674
1398	0.283255144
1399	0.268755164
1400	0.243510756
1401	0.199944154
1402	0.160310878
1403	0.127133148
1404	0.102477628
1405	0.083588768
1406	0.073799892
1407	0.07043323
1408	0.094299862
1409	0.119988714
1410	0.141388684
1411	0.163133096
1412	0.170544196
1413	0.168388644
1414	0.122733154
1415	0.105188736
1416	0.105788734
1417	0.108722064
1418	0.114310944
1419	0.125588706
1420	0.160799766
1421	0.229055222
1422	0.295855124
1423	0.280844036
1424	0.263688506
1425	0.245899642
1426	0.229555222
1427	0.216933018
1428	0.20712192
1429	0.19524416
1430	0.184710842
1431	0.179688628
1432	0.188488614
1433	0.204566368
1434	0.220755234
1435	0.232910772
1436	0.22964411
1437	0.207044144
1438	0.145188678
1439	0.116066498
1440	0.110055396
1441	0.109444286
1442	0.11131095
1443	0.118255384
1444	0.152677556
1445	0.216110796
1446	0.283255144
1447	0.263566284
1448	0.24182187
1449	0.207866364
1450	0.178377518
1451	0.158488658
1452	0.148677562
1453	0.135522024
1454	0.119399826
1455	0.121422046
1456	0.12775537
1457	0.140499796
1458	0.149322004
1459	0.159099768
1460	0.156099772
1461	0.149055338
1462	0.112366504
1463	0.099388744
1464	0.099388744
1465	0.100777632
1466	0.109810952
1467	0.122333156
1468	0.158766436
1469	0.229055222
1470	0.283255144
1471	0.261844064
1472	0.214910798
1473	0.17301086
1474	0.14826645
1475	0.122855376
1476	0.1065554
1477	0.079688772
1478	0.081199882
1479	0.07528878
1480	0.068266568
1481	0.099488744
1482	0.120222048
1483	0.092010978
1484	0.081233216
1485	0.065711016
1486	0.033766618
1487	0.029777734
1488	0.034722172
1489	0.035699948
1490	0.03846661
1491	0.05225548
1492	0.084655432
1493	0.10107763
1494	0.11943316
1495	0.118455384
1496	0.0988443
1497	0.06525546
1498	0.071499896
1499	0.033044396
1500	0.033166618
1501	0.01866664
1502	0.01095554
1503	0.012166648
1504	0.01126665
1505	0.01491109
1506	0.02101108
1507	0.049066596
1508	0.054966586
1509	0.040344386
1510	0.026855516
1511	0.019633304
1512	0.02192219
1513	0.034255506
1514	0.041466606
1515	0.057955472
1516	0.089733202
1517	0.165777536
1518	0.21664413
1519	0.213477468
1520	0.1980886
1521	0.174588634
1522	0.15881088
1523	0.141388684
1524	0.148677562
1525	0.138122022
1526	0.1144665
1527	0.109277618
